City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Tezu,IN,2021-01-12 21:57:24,27.9167,96.1667,58.39,66,76,2.57
213,Orbetello,IT,2021-01-12 21:57:24,42.4408,11.2196,33.8,100,20,3.44
214,Hasaki,JP,2021-01-12 21:57:25,35.7333,140.8333,26.6,100,20,2.3
215,Fagernes,NO,2021-01-12 21:57:25,60.9858,9.2324,18.0,90,100,4.56
216,Tuatapere,NZ,2021-01-12 21:57:25,-46.1333,167.6833,66.24,60,100,4.56
217,Mashhad,IR,2021-01-12 21:53:31,36.297,59.6062,39.2,41,0,4.61
218,Iqaluit,CA,2021-01-12 21:57:25,63.7506,-68.5145,3.2,78,75,4.61
219,Pontianak,ID,2021-01-12 21:57:25,-0.0333,109.3333,77.0,94,90,2.3
220,West Bay,KY,2021-01-12 21:57:25,19.3667,-81.4167,82.99,78,20,10.36
221,Plettenberg Bay,ZA,2021-01-12 21:57:26,-34.0527,23.3716,69.76,91,90,15.88
222,Port Pirie,AU,2021-01-12 21:57:26,-33.1833,138.0167,64.4,82,58,6.91
223,Christchurch,NZ,2021-01-12 21:57:26,-43.5333,172.6333,72.0,77,75,4.61
224,Ternate,ID,2021-01-12 21:57:26,0.8,127.4,80.87,80,81,5.79
225,Jos,NG,2021-01-12 21:57:26,9.9167,8.9,61.54,29,0,3.67
226,Shelburne,CA,2021-01-12 21:57:26,44.0787,-80.2041,28.99,95,95,7.99
227,Qaqortoq,GL,2021-01-12 21:57:26,60.7167,-46.0333,46.4,29,75,23.02
228,Luanda,AO,2021-01-12 21:57:26,-8.8368,13.2343,78.8,78,20,6.91
229,Guerrero Negro,MX,2021-01-12 21:57:26,27.9769,-114.0611,70.83,25,0,9.28
230,Tevaitoa,PF,2021-01-12 21:57:26,-16.7833,-151.5,80.67,76,98,18.79
231,Nemuro,JP,2021-01-12 21:57:27,43.3236,145.575,32.63,97,99,17.78
232,Caravelas,BR,2021-01-12 21:57:27,-17.7125,-39.2481,77.22,81,0,6.2
233,Itarema,BR,2021-01-12 21:57:27,-2.9248,-39.9167,79.02,78,84,11.72
234,Havoysund,NO,2021-01-12 21:57:27,70.9963,24.6622,21.2,73,0,17.27
235,Oyama,JP,2021-01-12 21:57:27,36.3,139.8,37.99,100,20,3.44
236,Aksu,CN,2021-01-12 21:57:27,41.1231,80.2644,16.36,74,100,4.09
237,Talcahuano,CL,2021-01-12 21:57:27,-36.7167,-73.1167,69.8,40,0,18.41
238,Saint Simons,US,2021-01-12 21:57:27,31.1352,-81.3901,54.0,82,90,9.22
239,Talnakh,RU,2021-01-12 21:57:27,69.4865,88.3972,-14.24,88,100,11.63
240,Ahipara,NZ,2021-01-12 21:57:28,-35.1667,173.1667,72.16,71,12,7.31
241,Comodoro Rivadavia,AR,2021-01-12 21:57:28,-45.8667,-67.5,73.4,27,0,12.66
242,Imeni Zhelyabova,RU,2021-01-12 21:57:28,58.9544,36.5956,-20.45,87,68,7.25
243,Mugur-Aksy,RU,2021-01-12 21:57:28,50.35,90.5,3.31,77,57,5.86
244,Coihaique,CL,2021-01-12 21:57:28,-45.5752,-72.0662,59.0,51,40,10.36
245,Port Lincoln,AU,2021-01-12 21:57:28,-34.7333,135.8667,64.15,63,97,3.51
246,Leningradskiy,RU,2021-01-12 21:57:28,69.3833,178.4167,-17.7,86,100,19.01
247,Meulaboh,ID,2021-01-12 21:57:28,4.1363,96.1285,75.45,84,70,4.79
248,Moerai,PF,2021-01-12 21:57:28,-22.4333,-151.3333,79.56,75,15,17.31
249,Nioro,GM,2021-01-12 21:57:28,13.35,-15.75,79.2,17,76,11.03
250,Hamilton,US,2021-01-12 21:56:40,39.1834,-84.5333,35.6,64,1,9.22
251,Maroua,CM,2021-01-12 21:57:29,10.591,14.3159,69.6,23,0,7.94
252,Husavik,IS,2021-01-12 21:57:29,66.0449,-17.3389,12.2,85,0,2.3
253,Katsuura,JP,2021-01-12 21:57:29,35.1333,140.3,33.8,86,20,4.61
254,Mahebourg,MU,2021-01-12 21:57:29,-20.4081,57.7,78.8,83,75,13.8
255,Egvekinot,RU,2021-01-12 21:57:29,66.3167,-179.1667,-11.72,90,100,12.71
256,Onega,RU,2021-01-12 21:57:29,63.9061,38.1404,-12.55,87,0,6.89
257,Bathsheba,BB,2021-01-12 21:57:29,13.2167,-59.5167,80.6,61,75,20.71
258,Matagami,CA,2021-01-12 21:57:29,49.7502,-77.6328,28.4,86,90,9.22
259,Sistranda,NO,2021-01-12 21:57:29,63.7256,8.834,24.8,74,20,10.36
260,Treinta Y Tres,UY,2021-01-12 21:57:29,-33.2333,-54.3833,68.31,55,100,12.93
261,Tarija,BO,2021-01-12 21:57:29,-21.5355,-64.7296,69.8,68,75,2.19
262,Shenjiamen,CN,2021-01-12 21:57:29,29.9576,122.298,44.62,60,0,17.6
263,Saskylakh,RU,2021-01-12 21:57:29,71.9167,114.0833,-28.48,83,90,5.37
264,Kampot,KH,2021-01-12 21:57:30,10.6167,104.1833,71.6,53,0,5.75
265,Bellevue,US,2021-01-12 21:52:35,47.6104,-122.2007,55.99,88,90,10.36
266,Kushiro,JP,2021-01-12 21:57:30,42.975,144.3747,34.74,94,100,12.8
267,Yulara,AU,2021-01-12 21:57:30,-25.2406,130.9889,77.0,25,0,3.44
268,Marsh Harbour,BS,2021-01-12 21:57:30,26.5412,-77.0636,75.15,69,100,6.2
269,Kailua,US,2021-01-12 21:53:42,21.4022,-157.7394,80.6,61,20,9.22
270,Pushkino,RU,2021-01-12 21:57:30,56.0172,37.8667,8.6,85,90,11.18
271,San Felipe,VE,2021-01-12 21:57:30,10.3399,-68.7425,73.87,82,100,5.53
272,Northport,US,2021-01-12 21:52:57,33.229,-87.5772,45.0,65,1,5.59
273,Wajid,SO,2021-01-12 21:57:30,3.8093,43.2471,76.51,27,0,14.74
274,Tamiahua,MX,2021-01-12 21:57:30,21.2667,-97.45,59.95,64,85,9.69
275,Saint George,US,2021-01-12 21:53:21,37.1041,-113.5841,52.0,24,1,2.21
276,Coihueco,CL,2021-01-12 21:57:30,-36.6167,-71.8333,82.4,14,0,8.05
277,Huanren,CN,2021-01-12 21:57:30,41.2647,125.3667,18.68,95,100,2.68
278,Iracoubo,GF,2021-01-12 21:57:31,5.4802,-53.2011,76.78,87,69,11.68
279,Vieira De Leiria,PT,2021-01-12 21:57:31,39.8695,-8.9324,41.0,81,0,2.3
280,San Juan,AR,2021-01-12 21:57:31,-31.5375,-68.5364,83.5,28,0,8.21
281,Marang,MY,2021-01-12 21:57:31,5.2056,103.2059,78.8,73,40,10.36
282,Asau,RO,2021-01-12 21:57:31,46.4333,26.4,32.0,93,75,5.75
283,Praia,CV,2021-01-12 21:57:31,14.9215,-23.5087,71.6,68,75,20.71
284,Puerto Escondido,MX,2021-01-12 21:57:31,15.85,-97.0667,80.6,74,40,5.32
285,Jeremie,HT,2021-01-12 21:57:31,18.65,-74.1167,78.66,71,88,1.7
286,Aykhal,RU,2021-01-12 21:57:31,66.0,111.5,-23.91,84,100,4.34
287,Kuruman,ZA,2021-01-12 21:57:31,-27.4524,23.4325,68.0,94,63,11.48
288,Kapuskasing,CA,2021-01-12 21:57:31,49.4169,-82.4331,32.0,80,100,10.36
289,Yelabuga,RU,2021-01-12 21:57:32,55.7613,52.0649,-13.0,77,0,4.47
290,Tambura,SS,2021-01-12 21:57:32,5.6,27.4667,71.28,29,2,1.83
